id_cliente,fecha,estrellas,texto
Cliente_21017000,2026-07-30T21:59:33.773Z,5,"BR
Bueno y Rico 😋."
Cliente_0db4a840,2026-05-28T12:54:51.008Z,5,"Ambiente agradable, lugar donde cuidan la cerveza y su personal bastante atentos profesional en especial Ale"
Cliente_979b2c26,2026-03-27T17:27:35.226Z,5,"Cervecería  con un producto  y servicio  muy bueno,  tienes que tener en cuanta que la cocina cierra sobre las 16:00. Por lo demás todo muy bueno y recomendable."
Cliente_7a6570e1,2026-02-25T11:39:59.201Z,5,"Me encanta el lugar su comida,  el personal y la limpieza. Destacar la amabilidad y resolución del encargado Ale . Muy recomendable."
Cliente_4cb38c4b,2025-12-05T19:45:55.175Z,5,Excelente lugar para comer y pasarla bien!
Cliente_da83d774,2025-09-21T14:30:30.336Z,4,Genial siempre
Cliente_abea8bb8,2025-09-18T20:36:24.262Z,1,"Durante años fui un cliente habitual de este establecimiento, pero lamentablemente, en las últimas visitas ""especialmente en los últimos dos años"" la experiencia ha ido en claro declive.

Lo poco positivo que puedo destacar es que la cerveza estaba bien fría, algo que, por desgracia, no logró compensar el resto de la velada. El pincho de tortilla que pedimos estaba recalentado y con una textura poco apetecible, casi pocha. Pero lo más decepcionante fueron las patatas con salsa: una montaña de salsa cubría por completo las patatas, haciendo el plato prácticamente incomible. Ante esto, solicitamos al camarero que retirara el plato, explicando que no podíamos comerlo.
Al pedir la cuenta, mencioné que no habíamos consumido las patatas y sugerí que se nos cobrara como una tapa, dado que apenas las tocamos. La respuesta del camarero fue poco profesional: me indicó que “la próxima vez pidiera la salsa aparte” y que entonces no me lo cobraría. Le respondí con claridad que no habría una próxima vez.
Una lástima ver cómo un lugar que antes ofrecía una experiencia agradable ha perdido tanto en calidad y atención. No volveré."
Cliente_583911bf,2025-08-25T13:16:16.056Z,5,"Espacio abierto para tomar unas cervecitas y degustar una buena carta de tapas. El servicio espectacular sobre todo Alex, q es un ejemplo de profesionalidad y gran servicio a la vez q una sonrisa siempre presente."
Cliente_a083a3b1,2025-07-12T14:20:37.246Z,5,Sé tapea super bien y barato y muy buen servicio
Cliente_4603d131,2025-04-20T17:34:48.782Z,4,"Magnífico,gambas muy buenas,pescado fresco,las albóndigas de choco son deliciosas,servicio rápido y precios ajustados,lo recomiendo al cien por cien"
Cliente_c8816cee,2025-03-23T15:27:34.148Z,1,"Un buen sitio para tomar una cerveza acompañado de una tapa, otra cosa es el trato de su encargado, el cual brilla la ausencia de la educación"
Cliente_b32d8703,2025-01-19T18:02:22.819Z,1,La calidad a bajado bastante y eso que los precios han subido.
Cliente_ac4828e9,2025-01-12T14:47:22.334Z,5,Geniel para tapear cervecita y gambas
Cliente_2b8f471b,2025-01-11T13:39:54.994Z,5,"Sitio muy bueno, agradable y con mucha variedad de comida, perfecto para unas cervezas con tapeo. Especial mención al camarero Ismael por su trato, educación y simpatía tanto con nosotros como veíamos con el resto de mesas, ese muchacho merece una subida de sueldo fijo ;) muy muy recomendable ir."
Cliente_7441ce51,2025-01-04T12:09:36.335Z,5,"Buen sitio para tomarte tú cervecita y tu tapita, las gambas y la ensaladilla impresionantes."
Cliente_59cef199,2025-01-03T15:26:49.369Z,4,"Económico y de calidad, para ir en familia o amigos. Buen sitio para rapear y tomarte unas cervezas."
Cliente_4fb36c55,2024-12-13T18:49:52.001Z,4,"Cálidad precio contrastada, servicio rápido y amable, recomendable"
Cliente_39c580a9,2024-12-08T14:03:29.595Z,1,"La camarera (gafas) una antipática, la comida bien pero no recomiendo venir para nada :)"
Cliente_b3ec3925,2024-11-01T20:50:40.427Z,5,"Destaco el genial servicio que nos ha dado el muchacho que es rapado y con piercings, amable, atento y muy agradable!! Volvere pronto 💗"
Cliente_4ab9ae35,2024-10-29T23:15:13.500Z,5,"Rápidos en servir, buena comida."
Cliente_3469326a,2024-10-19T19:24:04.093Z,5,Un sitio espectacular!!!!
Cliente_5f6da395,2024-10-19T16:09:16.867Z,5,pedazo de bar
